City_ID,City,Country,Max Temp,Current Discription,Lat,Lng,Hotel Name
2,Port Blair,IN,82.8,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
3,Luang Prabang,LA,80.58,overcast clouds,19.8856,102.1347,Villa Oasis
10,Mount Pleasant,US,86.07,few clouds,32.7941,-79.8626,Best Western Patriots Point
16,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
17,Celestun,MX,80.73,clear sky,20.8667,-90.4,Posada Lilia
27,Hami,CN,88.99,clear sky,42.8,93.45,Laoyutang Resort
28,Bereda,ES,82.42,few clouds,43.2686,-7.5406,Pazo de Verdes
32,Butaritari,KI,82.33,clear sky,3.0707,172.7902,Isles Sunset Lodge
37,Lethem,GY,82.33,broken clouds,3.3803,-59.7968,Savannah Inn
38,Georgetown,MY,84.15,scattered clouds,5.4112,100.3354,Cititel Penang
42,Hirara,JP,80.11,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
48,Hithadhoo,MV,83.14,light rain,-0.6,73.0833,Scoop Guest House
51,Ratnagiri,IN,80.65,overcast clouds,16.9833,73.3,Hotel Landmark
52,Port Alfred,ZA,80.31,scattered clouds,-33.5906,26.891,The Halyards Hotel
56,Avera,US,80.94,clear sky,33.194,-82.5271,
60,Saint George,US,85.53,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
78,Panaba,MX,83.89,overcast clouds,21.2833,-88.2667,Posada rosario
80,Hesla,IN,80.1,overcast clouds,24.0667,85.8833,Khurshid Dhaba
82,Pemangkat,ID,81.93,overcast clouds,1.1667,108.9667,Ramah Kost KITA
87,Cabedelo,BR,83.07,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
91,Nchelenge,ZM,80.83,clear sky,-9.3451,28.734,KD Travellers Home
93,Mbandaka,CD,88.29,broken clouds,0.0487,18.2603,Guest House Epervier
96,Darbhanga,IN,85.24,broken clouds,26.1667,85.9,Hotel Shyama Regency
102,Manyana,BW,81.64,clear sky,-23.4,21.7167,
103,Nisia Floresta,BR,80.98,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
104,Puerto Del Rosario,ES,80.28,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
106,Porto-Vecchio,FR,87.46,light rain,41.591,9.2795,Hôtel Le Goéland - Casa Santini
110,Lorengau,PG,80.82,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
112,Bor,RU,89.53,scattered clouds,56.3567,44.0669,Oktyabrskaya Hotel
115,Male,MV,83.5,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
118,Sao Filipe,CV,80.28,few clouds,14.8961,-24.4956,Hotel Xaguate
119,Veraval,IN,81.68,overcast clouds,20.9,70.3667,Lords Inn Somnath
120,Kavieng,PG,81.64,broken clouds,-2.5744,150.7967,Nusa Island Retreat
123,Barra Do Garcas,BR,86.58,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
138,Bonthe,SL,81.72,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
148,Butterworth,MY,84.25,scattered clouds,5.3991,100.3638,Cititel Penang
150,Cabo San Lucas,MX,85.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
157,Chaltyr,RU,86.34,broken clouds,47.2848,39.4823,Частный дом
164,Faya,SA,84.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
167,Murfreesboro,US,81.63,clear sky,35.8456,-86.3903,"Holiday Inn Express Murfreesboro Central, an IHG Hotel"
168,Lata,PT,85.05,clear sky,40.1629,-8.3327,Casa Maquia
169,Evanston,US,81.52,broken clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
174,Alenquer,BR,88.14,broken clouds,-1.9417,-54.7383,Josilene Castro
185,Guantanamo,CU,89.17,scattered clouds,20.1444,-75.2092,Hotel Guantánamo
190,Ures,MX,81.28,overcast clouds,29.4333,-110.4,Hotel HACIENDA San Francisco
191,Sinnamary,GF,84.67,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
192,Tra Vinh,VN,81.84,overcast clouds,9.9347,106.3453,Hồng Ân
202,Mongoumba,CF,86.49,overcast clouds,3.6415,18.5936,
203,Axim,GH,80.87,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
207,Itoman,JP,82.78,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
214,Felanitx,ES,86.95,clear sky,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
216,Sunyani,GH,82.2,light rain,7.3399,-2.3268,Nass Lodge
226,Aquin,HT,83.75,scattered clouds,18.2833,-73.4,Asheev Beach
234,Loiza,PR,87.78,scattered clouds,18.4313,-65.8802,Malibu Beachfront
236,Meulaboh,ID,80.83,heavy intensity rain,4.1363,96.1285,Kost Pria
238,Ciudad Bolivar,VE,83.98,overcast clouds,8.1222,-63.5497,Hotel Edi
246,Palmas,BR,84.07,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
252,The Valley,AI,86.14,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
