City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Discription
0,Bethel,US,41.3712,-73.414,76.41,81,40,0.0,scattered clouds
1,Albany,US,42.6001,-73.9662,79.81,78,98,3.38,overcast clouds
2,Port Blair,IN,11.6667,92.75,82.8,83,69,9.46,broken clouds
3,Luang Prabang,LA,19.8856,102.1347,80.58,79,100,2.17,overcast clouds
4,Obo,CF,5.3998,26.4869,79.7,71,99,3.76,light rain
5,Lasa,IT,46.6166,10.7002,75.11,83,80,5.06,broken clouds
6,Medveda,RU,56.5081,92.4078,62.53,77,98,2.1,light rain
7,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,87,90,10.36,light intensity drizzle
8,Hobart,AU,-42.8794,147.3294,47.26,78,9,1.99,clear sky
9,Sungaipenuh,ID,-2.0833,101.3833,65.91,98,88,3.0,overcast clouds
10,Mount Pleasant,US,32.7941,-79.8626,86.07,82,20,1.99,few clouds
11,Roebourne,AU,-20.7833,117.1333,69.49,67,0,3.96,light rain
12,Xining,CN,36.6167,101.7667,58.59,77,88,0.76,overcast clouds
13,Punta Arenas,CL,-53.15,-70.9167,41.11,75,40,23.02,scattered clouds
14,Abu Kamal,SY,34.4506,40.9171,105.53,12,0,1.48,clear sky
15,Drensteinfurt,DE,51.7953,7.7382,71.22,52,100,15.9,overcast clouds
16,Oistins,BB,13.0667,-59.5333,86.09,70,40,23.02,scattered clouds
17,Celestun,MX,20.8667,-90.4,80.73,76,2,9.08,clear sky
18,Blagoyevo,RU,63.3667,47.9167,67.5,44,100,3.71,overcast clouds
19,New Norfolk,AU,-42.7826,147.0587,46.92,80,13,2.91,few clouds
20,Nikolskoye,RU,59.7035,30.7861,73.29,82,99,6.64,overcast clouds
21,Kodiak,US,57.79,-152.4072,52.47,97,100,4.94,light rain
22,Rikitea,PF,-23.1203,-134.9692,74.84,73,70,12.12,broken clouds
23,Yar-Sale,RU,66.8333,70.8333,68.23,64,71,15.08,broken clouds
24,Rio Gallegos,AR,-51.6226,-69.2181,42.85,52,0,18.41,clear sky
25,Klaksvik,FO,62.2266,-6.589,54.52,92,77,11.14,broken clouds
26,Kapuskasing,CA,49.4169,-82.4331,64.4,68,90,5.75,overcast clouds
27,Hami,CN,42.8,93.45,88.99,10,10,7.58,clear sky
28,Bereda,ES,43.2686,-7.5406,82.42,45,19,1.74,few clouds
29,Chota,PE,-6.55,-78.65,59.7,62,2,5.06,clear sky
30,Dikson,RU,73.5069,80.5464,49.66,72,5,3.58,clear sky
31,Bluff,NZ,-46.6,168.3333,32.81,69,51,14.38,light snow
32,Butaritari,KI,3.0707,172.7902,82.33,64,10,10.33,clear sky
33,Hegang,CN,47.4,130.3667,52.75,82,100,7.65,overcast clouds
34,Bafq,IR,31.6128,55.4107,99.63,8,0,17.6,clear sky
35,Maragogi,BR,-9.0122,-35.2225,77.04,68,97,9.69,overcast clouds
36,Mount Isa,AU,-20.7333,139.5,51.57,43,0,0.0,clear sky
37,Lethem,GY,3.3803,-59.7968,82.33,74,57,1.97,broken clouds
38,Georgetown,MY,5.4112,100.3354,84.15,76,40,5.75,scattered clouds
39,Ancud,CL,-41.8697,-73.8203,47.43,78,1,5.95,clear sky
40,Hilo,US,19.7297,-155.09,73.13,82,90,4.61,overcast clouds
41,Grand Gaube,MU,-20.0064,57.6608,70.38,87,85,3.0,moderate rain
42,Hirara,JP,24.8,125.2833,80.11,89,92,15.28,overcast clouds
43,Ushuaia,AR,-54.8,-68.3,40.66,65,40,12.66,scattered clouds
44,Orange,US,33.7,-117.7675,71.8,85,75,0.0,broken clouds
45,Barrow,US,71.2906,-156.7887,37.42,93,90,10.36,overcast clouds
46,Castro,BR,-24.7911,-50.0119,68.43,54,1,5.91,clear sky
47,Aklavik,CA,68.2191,-135.0107,42.8,93,75,4.61,mist
48,Hithadhoo,MV,-0.6,73.0833,83.14,68,100,2.21,light rain
49,Fortuna,US,40.5982,-124.1573,62.19,71,90,3.0,overcast clouds
50,Nanortalik,GL,60.1432,-45.2371,44.26,85,46,10.51,scattered clouds
51,Ratnagiri,IN,16.9833,73.3,80.65,83,100,5.23,overcast clouds
52,Port Alfred,ZA,-33.5906,26.891,80.31,36,41,3.71,scattered clouds
53,Kaitangata,NZ,-46.2817,169.8464,34.97,91,93,7.29,light rain
54,Hvittingfoss,NO,59.4833,10.0167,74.52,46,89,3.0,overcast clouds
55,Lebu,CL,-37.6167,-73.65,48.07,69,74,12.57,broken clouds
56,Avera,US,33.194,-82.5271,80.94,65,10,5.28,clear sky
57,Thompson,CA,55.7435,-97.8558,64.56,94,90,0.0,mist
58,Alyangula,AU,-13.8483,136.4192,69.94,83,1,8.19,clear sky
59,Jamestown,US,42.097,-79.2353,76.32,82,20,8.01,few clouds
60,Saint George,US,37.1041,-113.5841,85.53,28,1,4.61,clear sky
61,Fresnillo,MX,23.1667,-102.8833,62.85,72,0,3.31,clear sky
62,Qaanaaq,GL,77.484,-69.3632,38.91,66,35,3.67,scattered clouds
63,Khatanga,RU,71.9667,102.5,57.02,60,100,15.95,overcast clouds
64,Olafsvik,IS,64.8945,-23.7142,57.69,75,99,7.09,overcast clouds
65,Kirovsk,UA,48.6375,38.6428,74.3,75,100,2.08,moderate rain
66,Auki,SB,-8.7676,160.7034,76.01,88,100,4.74,overcast clouds
67,Faanui,PF,-16.4833,-151.75,78.67,75,68,12.59,broken clouds
68,Goderich,CA,43.7501,-81.7165,74.91,83,100,6.91,overcast clouds
69,Mataura,NZ,-46.1927,168.8643,32.49,99,99,3.6,overcast clouds
70,Port Elizabeth,ZA,-33.918,25.5701,71.89,46,20,12.66,few clouds
71,Yellowknife,CA,62.456,-114.3525,48.72,71,40,9.22,scattered clouds
72,Riyadh,SA,24.6877,46.7219,109.54,9,61,12.55,broken clouds
73,Tura,IN,25.5198,90.2201,75.87,97,83,5.39,broken clouds
74,Nuristan,AF,35.3,70.8333,53.02,63,50,1.68,scattered clouds
75,Muisne,EC,0.6,-80.0333,75.7,82,100,10.2,overcast clouds
76,Edson,CA,53.5835,-116.4356,51.94,82,90,8.05,overcast clouds
77,Salalah,OM,17.0151,54.0924,78.89,89,90,8.05,light intensity drizzle
78,Panaba,MX,21.2833,-88.2667,83.89,69,91,7.67,overcast clouds
79,Palmer,US,42.1584,-72.3287,77.61,67,75,1.01,broken clouds
80,Hesla,IN,24.0667,85.8833,80.1,83,94,3.94,overcast clouds
81,Busselton,AU,-33.65,115.3333,58.08,82,9,27.6,clear sky
82,Pemangkat,ID,1.1667,108.9667,81.93,77,100,2.66,overcast clouds
83,Cape Town,ZA,-33.9258,18.4232,63.1,70,40,10.0,scattered clouds
84,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,64,40,23.02,scattered clouds
85,Hermanus,ZA,-34.4187,19.2345,65.8,64,100,25.12,overcast clouds
86,Terre Haute,US,39.4667,-87.4139,77.27,78,1,9.22,clear sky
87,Cabedelo,BR,-6.9811,-34.8339,83.07,69,48,21.09,scattered clouds
88,Riosucio,CO,5.4216,-75.7032,61.23,90,96,2.08,overcast clouds
89,Norman Wells,CA,65.282,-126.8329,46.44,81,90,2.3,overcast clouds
90,Kaeo,NZ,-35.1,173.7833,46.33,94,92,11.34,overcast clouds
91,Nchelenge,ZM,-9.3451,28.734,80.83,37,0,5.77,clear sky
92,Dunedin,NZ,-45.8742,170.5036,37.8,73,86,3.0,overcast clouds
93,Mbandaka,CD,0.0487,18.2603,88.29,41,58,2.3,broken clouds
94,Sorong,ID,-0.8833,131.25,78.17,88,100,8.86,overcast clouds
95,Luderitz,NA,-26.6481,15.1594,60.64,75,66,9.82,broken clouds
96,Darbhanga,IN,26.1667,85.9,85.24,78,82,1.28,broken clouds
97,Ust-Ilimsk,RU,58.0006,102.6619,61.02,52,9,2.3,clear sky
98,Avarua,CK,-21.2078,-159.775,73.45,73,75,4.61,broken clouds
99,Vaini,TO,-21.2,-175.2,62.76,94,40,0.0,scattered clouds
100,Plettenberg Bay,ZA,-34.0527,23.3716,63.57,64,72,7.14,broken clouds
101,Talnakh,RU,69.4865,88.3972,70.97,40,0,1.95,clear sky
102,Manyana,BW,-23.4,21.7167,81.64,9,0,9.22,clear sky
103,Nisia Floresta,BR,-6.0911,-35.2086,80.98,56,72,18.9,broken clouds
104,Puerto Del Rosario,ES,28.5004,-13.8627,80.28,69,40,18.41,scattered clouds
105,Qaqortoq,GL,60.7167,-46.0333,48.7,78,8,16.4,clear sky
106,Porto-Vecchio,FR,41.591,9.2795,87.46,42,0,5.75,light rain
107,Mar Del Plata,AR,-38.0023,-57.5575,50.02,62,0,11.5,light rain
108,Pevek,RU,69.7008,170.3133,37.15,82,88,8.97,overcast clouds
109,Souillac,MU,-20.5167,57.5167,70.36,100,75,5.75,shower rain
110,Lorengau,PG,-2.0226,147.2712,80.82,80,39,10.92,scattered clouds
111,Poum,NC,-20.2333,164.0167,69.64,70,89,20.51,overcast clouds
112,Bor,RU,56.3567,44.0669,89.53,28,29,9.55,scattered clouds
113,Pangoa,PE,-12.1167,-73.0,77.36,51,0,2.15,clear sky
114,Minsk,BY,53.9,27.5667,78.55,57,100,11.59,overcast clouds
115,Male,MV,4.1748,73.5089,83.5,72,100,17.05,overcast clouds
116,Paso De Los Toros,UY,-32.8167,-56.5167,69.37,68,4,5.77,clear sky
117,Fort Nelson,CA,58.8053,-122.7002,45.99,100,75,2.3,fog
118,Sao Filipe,CV,14.8961,-24.4956,80.28,79,24,11.14,few clouds
119,Veraval,IN,20.9,70.3667,81.68,79,93,8.81,overcast clouds
120,Kavieng,PG,-2.5744,150.7967,81.64,75,80,9.62,broken clouds
121,Beatrice,US,40.2681,-96.747,72.45,88,1,8.05,clear sky
122,Oranjemund,NA,-28.55,16.4333,60.28,76,86,15.21,overcast clouds
123,Barra Do Garcas,BR,-15.89,-52.2567,86.58,39,0,11.5,clear sky
124,Longyearbyen,SJ,78.2186,15.6401,44.44,81,20,10.36,few clouds
125,Makokou,GA,0.5738,12.8642,78.93,73,99,3.74,light rain
126,Puerto Baquerizo Moreno,EC,-0.9,-89.6,70.29,79,51,17.69,broken clouds
127,Upernavik,GL,72.7868,-56.1549,38.34,85,78,5.19,broken clouds
128,Saint-Augustin,CA,51.226,-58.6502,62.28,53,98,8.43,overcast clouds
129,Ribeira Grande,PT,38.5167,-28.7,75.6,69,40,13.8,scattered clouds
130,Mount Gambier,AU,-37.8333,140.7667,45.07,86,23,5.86,few clouds
131,Nantucket,US,41.2835,-70.0995,78.91,75,75,9.22,broken clouds
132,Yeniseysk,RU,58.4497,92.1703,66.63,66,86,1.61,overcast clouds
133,Honningsvag,NO,70.9821,25.9704,59.4,63,15,6.71,few clouds
134,Andenes,NO,69.3143,16.1194,67.98,52,0,6.91,clear sky
135,Lompoc,US,34.6391,-120.4579,59.09,99,90,4.61,mist
136,Brae,GB,60.3964,-1.353,57.11,72,97,10.69,overcast clouds
137,Sangar,RU,63.9242,127.4739,64.69,32,0,10.69,clear sky
138,Bonthe,SL,7.5264,-12.505,81.72,67,97,11.56,overcast clouds
139,Beringovskiy,RU,63.05,179.3167,43.41,90,100,24.79,light rain
140,Ternate,ID,0.8,127.4,79.7,81,100,1.66,overcast clouds
141,North Bend,US,43.4065,-124.2243,55.85,100,20,3.44,few clouds
142,Geraldton,AU,-28.7667,114.6,66.61,88,75,16.11,broken clouds
143,Yeppoon,AU,-23.1333,150.7333,56.98,71,0,12.06,clear sky
144,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,68.65,70,100,3.44,overcast clouds
145,Dori,BF,14.0354,-0.0345,93.96,38,97,8.66,overcast clouds
146,Bredasdorp,ZA,-34.5322,20.0403,65.52,45,100,24.16,overcast clouds
147,Rajauri,IN,33.3833,74.3,78.73,75,65,2.24,broken clouds
148,Butterworth,MY,5.3991,100.3638,84.25,77,40,5.75,scattered clouds
149,Buraydah,SA,26.326,43.975,109.85,9,47,11.95,scattered clouds
150,Cabo San Lucas,MX,22.8909,-109.9124,85.51,76,100,3.53,overcast clouds
151,Westport,US,41.1415,-73.3579,76.28,94,90,5.75,overcast clouds
152,Ilebo,CD,-4.3167,20.5833,97.32,23,91,1.03,overcast clouds
153,Tiksi,RU,71.6872,128.8694,46.11,87,15,6.06,few clouds
154,Masallatah,LY,32.6167,14.0,95.25,39,0,16.11,clear sky
155,Wielun,PL,51.221,18.5696,76.89,49,57,10.09,broken clouds
156,Severo-Kurilsk,RU,50.6789,156.125,52.92,78,76,9.42,broken clouds
157,Chaltyr,RU,47.2848,39.4823,86.34,65,79,9.46,broken clouds
158,Joaima,BR,-16.6542,-41.0306,68.23,74,100,4.94,overcast clouds
159,Japura,ID,-0.3167,102.35,79.32,83,91,2.06,overcast clouds
160,Jumla,NP,29.2747,82.1838,64.24,97,99,2.89,overcast clouds
161,Innsbruck,AT,47.2627,11.3945,68.05,56,75,2.3,broken clouds
162,Coihaique,CL,-45.5752,-72.0662,41.61,70,20,6.91,few clouds
163,Tuxpan,MX,19.55,-103.4,67.77,96,97,3.4,overcast clouds
164,Faya,SA,18.3851,42.4509,84.72,39,91,8.21,overcast clouds
165,Sambava,MG,-14.2667,50.1667,73.87,71,20,12.37,few clouds
166,Sur,OM,22.5667,59.5289,91.92,56,0,4.5,clear sky
167,Murfreesboro,US,35.8456,-86.3903,81.63,78,1,6.91,clear sky
168,Lata,PT,40.1629,-8.3327,85.05,28,0,11.34,clear sky
169,Evanston,US,42.0411,-87.6901,81.52,74,75,1.01,broken clouds
170,Belaya Gora,RU,68.5333,146.4167,53.74,58,52,5.68,broken clouds
171,Provideniya,RU,64.3833,-173.3,44.33,87,100,13.13,overcast clouds
172,Pasighat,IN,28.0667,95.3333,79.45,96,84,1.43,broken clouds
173,Gat,IL,31.61,34.7642,90.39,47,0,12.64,clear sky
174,Alenquer,BR,-1.9417,-54.7383,88.14,46,64,5.08,broken clouds
175,Jacqueville,CI,5.2052,-4.4146,78.71,84,24,14.27,few clouds
176,Cidreira,BR,-30.1811,-50.2056,67.86,68,0,5.44,clear sky
177,Puerto Ayora,EC,-0.7393,-90.3518,70.56,85,40,8.01,scattered clouds
178,Codrington,AU,-38.2667,141.9667,52.93,58,100,7.25,overcast clouds
179,Kapaa,US,22.0752,-159.319,79.12,64,20,11.5,few clouds
180,Vestmanna,FO,62.1564,-7.1664,54.52,94,93,11.5,overcast clouds
181,Sar-E Pul,AF,35.8333,66.1667,79.52,18,0,6.29,clear sky
182,Bambous Virieux,MU,-20.3428,57.7575,70.21,100,75,5.75,shower rain
183,Kirs,RU,59.3388,52.2447,68.74,51,25,4.25,scattered clouds
184,Praia Da Vitoria,PT,38.7333,-27.0667,77.25,69,75,16.49,broken clouds
185,Guantanamo,CU,20.1444,-75.2092,89.17,54,50,6.33,scattered clouds
186,Ponta Do Sol,PT,32.6667,-17.1,74.71,76,75,3.74,broken clouds
187,Hopkinton,US,41.4612,-71.7776,76.55,81,90,3.44,overcast clouds
188,Hollister,US,36.8525,-121.4016,61.21,93,90,0.0,overcast clouds
189,Cherskiy,RU,68.75,161.3,48.79,65,15,3.31,few clouds
190,Ures,MX,29.4333,-110.4,81.28,83,100,3.65,overcast clouds
191,Sinnamary,GF,5.3833,-52.95,84.67,68,41,8.39,scattered clouds
192,Tra Vinh,VN,9.9347,106.3453,81.84,78,96,8.81,overcast clouds
193,Siyabuswa,ZA,-25.1132,29.0445,79.36,15,0,6.46,clear sky
194,Coracora,PE,-15.0333,-73.7833,54.23,47,6,2.59,clear sky
195,Husavik,IS,66.0449,-17.3389,60.71,70,22,6.71,few clouds
196,East London,ZA,-33.0153,27.9116,79.74,36,0,5.75,clear sky
197,Puerto Ayacucho,VE,5.6639,-67.6236,74.71,90,100,4.07,overcast clouds
198,Iqaluit,CA,63.7506,-68.5145,42.53,87,90,3.44,overcast clouds
199,Airai,TL,-8.9266,125.4092,54.91,90,69,2.71,broken clouds
200,Sakakah,SA,29.9697,40.2064,107.17,8,0,11.83,clear sky
201,Asyut,EG,27.181,31.1837,109.58,12,1,14.27,clear sky
202,Mongoumba,CF,3.6415,18.5936,86.49,52,97,1.83,overcast clouds
203,Axim,GH,4.8699,-2.2405,80.87,72,78,12.71,broken clouds
204,Pisco,PE,-13.7,-76.2167,61.02,77,90,4.61,smoke
205,Bambanglipuro,ID,-7.95,110.2833,77.32,86,50,5.57,scattered clouds
206,Henties Bay,NA,-22.116,14.2845,60.85,75,0,14.5,clear sky
207,Itoman,JP,26.1247,127.6694,82.78,92,75,10.36,broken clouds
208,Atuona,PF,-9.8,-139.0333,77.04,80,82,14.36,moderate rain
209,Atherton,GB,53.5237,-2.4935,65.16,86,100,5.01,overcast clouds
210,Mahebourg,MU,-20.4081,57.7,70.25,100,75,5.75,shower rain
211,Lagoa,PT,39.05,-27.9833,71.44,78,95,15.99,overcast clouds
212,Saskylakh,RU,71.9167,114.0833,61.23,61,91,11.01,overcast clouds
213,Tomatlan,MX,19.9333,-105.25,75.78,92,96,3.76,overcast clouds
214,Felanitx,ES,39.4696,3.1483,86.95,52,4,14.92,clear sky
215,Bengkulu,ID,-3.8004,102.2655,77.97,89,100,3.76,light rain
216,Sunyani,GH,7.3399,-2.3268,82.2,64,94,6.26,light rain
217,Toamasina,MG,-18.1667,49.3833,73.4,78,40,5.75,scattered clouds
218,Bilma,NE,18.6853,12.9164,103.08,21,93,7.49,overcast clouds
219,Baruun-Urt,MN,46.6806,113.2792,57.9,91,77,7.72,broken clouds
220,Raudeberg,NO,61.9875,5.1352,71.38,75,100,8.63,overcast clouds
221,Dalianwan,CN,39.0286,121.695,75.24,94,80,6.71,light rain
222,College,US,64.8569,-147.8028,56.59,92,75,0.0,broken clouds
223,Yertarskiy,RU,56.7902,64.2995,62.1,91,98,3.31,overcast clouds
224,Moerai,PF,-22.4333,-151.3333,73.24,72,3,8.39,clear sky
225,Saquarema,BR,-22.92,-42.5103,73.54,57,55,10.49,broken clouds
226,Aquin,HT,18.2833,-73.4,83.75,69,38,3.38,scattered clouds
227,Qasigiannguit,GL,68.8193,-51.1922,44.85,94,100,13.91,light rain
228,Tasiilaq,GL,65.6145,-37.6368,46.56,96,100,18.1,moderate rain
229,Carnarvon,AU,-24.8667,113.6333,68.07,81,90,3.44,overcast clouds
230,Clarence Town,AU,-32.5833,151.7833,59.86,84,100,1.81,overcast clouds
231,Sobolevo,RU,54.4299,31.8996,76.14,46,100,4.12,overcast clouds
232,Yerbogachen,RU,61.2767,108.0108,54.79,53,0,0.92,clear sky
233,Oni,GE,42.5794,43.4425,78.78,66,86,5.3,overcast clouds
234,Loiza,PR,18.4313,-65.8802,87.78,73,40,16.11,scattered clouds
235,Coquimbo,CL,-29.9533,-71.3436,55.13,82,75,6.91,broken clouds
