City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,47.86,66,40,5.75,AR,2021-08-05 02:27:48
1,Port Alfred,-33.5906,26.891,63.01,88,68,8.34,ZA,2021-08-05 02:24:14
2,Port Elizabeth,-33.918,25.5701,61.11,94,40,2.3,ZA,2021-08-05 02:28:00
3,Erzurum,40.0,41.5,60.48,66,0,4.97,TR,2021-08-05 02:28:00
4,Tuktoyaktuk,69.4541,-133.0374,62.6,45,40,10.36,CA,2021-08-05 02:28:00
5,Tomatlan,19.9333,-105.25,78.26,92,100,0.92,MX,2021-08-05 02:28:00
6,Pangnirtung,66.1451,-65.7125,42.28,98,100,3.09,CA,2021-08-05 02:28:01
7,Srednekolymsk,67.45,153.6833,45.82,78,100,7.49,RU,2021-08-05 02:25:20
8,Hilo,19.7297,-155.09,80.33,75,40,5.75,US,2021-08-05 02:24:39
9,Mataura,-46.1927,168.8643,47.98,68,100,4.79,NZ,2021-08-05 02:24:09
10,Qaanaaq,77.484,-69.3632,42.44,69,7,5.08,GL,2021-08-05 02:24:18
11,Severo-Kurilsk,50.6789,156.125,57.36,63,70,14.83,RU,2021-08-05 02:28:01
12,Busselton,-33.65,115.3333,59.04,72,0,6.49,AU,2021-08-05 02:24:20
13,Chuy,-33.6971,-53.4616,49.24,95,81,5.32,UY,2021-08-05 02:24:21
14,Cayenne,4.9333,-52.3333,77.09,88,0,0.0,GF,2021-08-05 02:24:38
15,Gari,59.4307,62.3497,63.07,94,35,5.23,RU,2021-08-05 02:28:01
16,Kyzyl-Suu,42.3414,78.0056,66.09,45,1,0.31,KG,2021-08-05 02:28:02
17,Sitka,57.0531,-135.33,62.49,82,90,6.91,US,2021-08-05 02:28:02
18,Rikitea,-23.1203,-134.9692,73.04,71,7,17.11,PF,2021-08-05 02:27:21
19,Bluff,-46.6,168.3333,46.81,68,100,5.91,NZ,2021-08-05 02:24:19
20,Boulder,40.0833,-105.3505,73.0,50,1,5.01,US,2021-08-05 02:28:02
21,Zonguldak,41.25,31.8333,61.65,63,0,4.68,TR,2021-08-05 02:28:02
22,Nome,64.5011,-165.4064,69.17,77,75,4.61,US,2021-08-05 02:24:44
23,Thompson,55.7435,-97.8558,53.76,62,75,4.61,CA,2021-08-05 02:28:03
24,Hope,33.6671,-93.5916,80.65,65,40,4.54,US,2021-08-05 02:28:03
25,Creel,27.75,-107.6333,64.0,52,58,8.25,MX,2021-08-05 02:28:03
26,Termoli,41.9888,14.9895,77.07,72,100,10.02,IT,2021-08-05 02:28:03
27,Cairns,-16.9167,145.7667,82.06,38,40,11.5,AU,2021-08-05 02:25:37
28,Farafangana,-22.8167,47.8333,65.68,75,64,5.95,MG,2021-08-05 02:24:21
29,Carnarvon,-24.8667,113.6333,68.07,32,0,18.41,AU,2021-08-05 02:28:04
30,Tiksi,71.6872,128.8694,45.41,75,4,10.13,RU,2021-08-05 02:28:04
31,Upernavik,72.7868,-56.1549,45.3,71,3,2.3,GL,2021-08-05 02:28:04
32,East London,-33.0153,27.9116,64.96,86,99,5.95,ZA,2021-08-05 02:24:49
33,Hambantota,6.1241,81.1185,82.74,83,20,16.11,LK,2021-08-05 02:25:45
34,Tuatapere,-46.1333,167.6833,49.96,59,100,1.59,NZ,2021-08-05 02:25:04
35,Barrow,71.2906,-156.7887,53.62,71,1,12.66,US,2021-08-05 02:24:16
36,Egvekinot,66.3167,-179.1667,66.11,53,5,25.61,RU,2021-08-05 02:28:04
